f1,f2,algorithm,cv_auc
PitStop,TyreLife,LogReg,0.7045981004547488
PitStop,TyreLife,DecisionTree,0.7096535846482097
PitStop,TyreLife,RandomForest,0.7099248924717488
PitStop,Position,LightGBM,0.5479144725398141
PitStop,Position,LogReg,0.5368017935848463
PitStop,Position,DecisionTree,0.548560160819833
PitStop,Position,RandomForest,0.5485625802124654
PitStop,LapTime (s),LightGBM,0.6314052001822839
PitStop,LapTime (s),LogReg,0.5492412540228178
PitStop,LapTime (s),DecisionTree,0.6241022958930282
PitStop,LapTime (s),RandomForest,0.6330614977851647
PitStop,LapTime_Delta,LightGBM,0.7187505487218846
PitStop,LapTime_Delta,LogReg,0.5518061175294426
PitStop,LapTime_Delta,DecisionTree,0.7068155497366652
PitStop,LapTime_Delta,RandomForest,0.7195362871711548
PitStop,Cumulative_Degradation,LightGBM,0.6874955373222768
PitStop,Cumulative_Degradation,LogReg,0.6160582331437425
PitStop,Cumulative_Degradation,DecisionTree,0.6787128375160235
PitStop,Cumulative_Degradation,RandomForest,0.6889459713551156
PitStop,RaceProgress,LightGBM,0.7403925245523616
PitStop,RaceProgress,LogReg,0.6600704558712049
PitStop,RaceProgress,DecisionTree,0.7261588942023023
PitStop,RaceProgress,RandomForest,0.7403902086341899
PitStop,Position_Change,LightGBM,0.6717330863749291
PitStop,Position_Change,LogReg,0.5475145478974479
PitStop,Position_Change,DecisionTree,0.6832867202718386
PitStop,Position_Change,RandomForest,0.6836831130043836
Stint,TyreLife,LightGBM,0.7950116156611671
Stint,TyreLife,LogReg,0.7324296434305231
Stint,TyreLife,DecisionTree,0.7956669827480081
Stint,TyreLife,RandomForest,0.7967130067865769
Stint,Position,LightGBM,0.7568165626363019
Stint,Position,LogReg,0.6910309990943326
Stint,Position,DecisionTree,0.758284580023565
Stint,Position,RandomForest,0.7594156211581051
Stint,LapTime (s),LightGBM,0.7844534923885782
Stint,LapTime (s),LogReg,0.6920722274064164
Stint,LapTime (s),DecisionTree,0.777033936139256
Stint,LapTime (s),RandomForest,0.7836437674824508
Stint,LapTime_Delta,LightGBM,0.8466914139570321
